discipline,class,w,h,area,img_w,img_h
electrical,Panel Board,32.76,13.89,455.04,3600,3300
electrical,Panel Board,13.89,32.76,455.04,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,27.75,777.0,3600,3300
electrical,Duplex Receptacle,32.29,32.5,1049.42,3600,3300
electrical,Duplex Receptacle,32.29,32.5,1049.42,3600,3300
electrical,Duplex Receptacle,31.28,31.5,985.32,3600,3300
electrical,Duplex Receptacle,32.5,32.29,1049.42,3600,3300
electrical,Duplex Receptacle,32.29,32.5,1049.42,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,32.29,32.5,1049.42,3600,3300
electrical,Duplex Receptacle,32.54,32.75,1065.68,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,17.84,18.32,326.83,3600,3300
electrical,Floor Box,17.84,18.32,326.83,3600,3300
electrical,Floor Box,17.84,18.32,326.83,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,18.75,18.25,342.19,3600,3300
electrical,Floor Box,22.07,21.66,478.04,3600,3300
electrical,Floor Box,21.64,21.24,459.63,3600,3300
electrical,Floor Box,17.84,18.32,326.83,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,20.82,21.23,442.01,3600,3300
electrical,Floor Box,21.24,21.64,459.63,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,17.84,18.32,326.83,3600,3300
electrical,Floor Box,17.84,18.32,326.83,3600,3300
electrical,Floor Box,17.84,18.32,326.83,3600,3300
electrical,Panel Board,32.76,13.89,455.04,3600,3300
electrical,Panel Board,32.76,13.89,455.04,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,27.75,28.0,777.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,17.84,18.32,326.83,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,17.84,18.32,326.83,3600,3300
electrical,Floor Box,17.84,18.32,326.83,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,23.67,33.67,796.97,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,24.08,33.92,816.79,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,23.92,34.08,815.19,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,31.25,18.75,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Fire Alarm,18.75,31.25,585.94,3600,3300
electrical,Panel Board,65.36,27.52,1798.71,3600,3300
electrical,Panel Board,65.25,27.5,1794.38,3600,3300
electrical,Panel Board,65.35,27.52,1798.43,3600,3300
electrical,Panel Board,65.35,27.52,1798.43,3600,3300
electrical,Panel Board,27.52,65.35,1798.43,3600,3300
electrical,Panel Board,27.52,65.35,1798.43,3600,3300
electrical,Panel Board,27.52,65.35,1798.43,3600,3300
electrical,Panel Board,65.35,27.52,1798.43,3600,3300
electrical,Panel Board,27.52,65.35,1798.43,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.0,27.75,777.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,27.75,28.0,777.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,27.75,777.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,29.26,29.0,848.54,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,27.75,777.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,29.26,29.0,848.54,3600,3300
electrical,Duplex Receptacle,29.26,29.0,848.54,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.0,28.25,791.0,3600,3300
electrical,Duplex Receptacle,28.25,28.0,791.0,3600,3300
electrical,Duplex Receptacle,28.0,27.75,777.0,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Floor Box,18.25,18.75,342.19,3600,3300
electrical,Manual Fire Alarm,26.25,16.91,443.89,3600,3300
electrical,Manual Fire Alarm,16.91,26.25,443.89,3600,3300
electrical,Manual Fire Alarm,16.91,26.25,443.89,3600,3300
electrical,Manual Fire Alarm,16.91,26.25,443.89,3600,3300
electrical,Manual Fire Alarm,16.91,26.25,443.89,3600,3300
electrical,Manual Fire Alarm,16.91,26.25,443.89,3600,3300
electrical,Manual Fire Alarm,16.91,26.25,443.89,3600,3300
electrical,Manual Fire Alarm,16.91,26.25,443.89,3600,3300
electrical,Manual Fire Alarm,16.91,26.25,443.89,3600,3300
electrical,Manual Fire Alarm,16.91,26.25,443.89,3600,3300
electrical,Manual Fire Alarm,16.91,26.25,443.89,3600,3300
electrical,Manual Fire Alarm,16.91,26.25,443.89,3600,3300
electrical,Manual Fire Alarm,26.25,16.91,443.89,3600,3300
electrical,Manual Fire Alarm,26.25,16.91,443.89,3600,3300
electrical,Manual Fire Alarm,26.25,16.91,443.89,3600,3300
electrical,Manual Fire Alarm,26.25,16.91,443.89,3600,3300
